id,__latitude,__longitude,country,country__shape,country__colour,year,year__shape,year__colour,haplotype,haplotype__shape,haplotype__colour
10592_2_7_Pak3802_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_70_MauE98-6926_1998,20,-12,Mauritania,circle,#2E8B57,1998,square,#556B2F,,triangle,#FFFAFA
10592_2_71_CamerIPCC_2002,6,12,Cameroon,circle,#000080,2002,square,#B0E0E6,,triangle,#FFFAFA
10592_2_72_CamerIPCG_2003,6,12,Cameroon,circle,#000080,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_73_SriLanE01-8716_2001,7,81,SriLanka,circle,#CD5C5C,2001,square,#E0FFFF,,triangle,#FFFAFA
10592_2_74_MorE99-7012_1999,32,-5,Morocco,circle,#ADD8E6,1999,square,#006400,,triangle,#FFFAFA
10592_2_75_Mau09-5232_2009,20,-12,Mauritania,circle,#2E8B57,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_76_CamerIPCO_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10592_2_77_IvoCoa06-6673_2006,7.539989,-5.54708,IvoryCoast,circle,#66CDAA,2006,square,#00BFFF,,triangle,#FFFAFA
10592_2_79_BurFas06-6055_2006,13,-2,BurkinaFaso,circle,#008080,2006,square,#00BFFF,,triangle,#FFFAFA
10592_2_8_Pak16637_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_81_France_African_name09-2213_2009,46,2,France,circle,#808080,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_82_Nig09-8993_2009,10,8,Nigeria,circle,#90EE90,2009,square,#4682B4,,triangle,#FFFAFA
10593_2_1_MadE00-3459_2000,-20,47,Madagascar,circle,#B0C4DE,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_11_ThaE02-1687_2002,15,100,Thailand,circle,#FFDAB9,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_12_Africa09-9292_2009,-7.0222458,0,Africa,circle,#F0F8FF,2009,square,#4682B4,,triangle,#FFFAFA
10593_2_13_NigerE99-9082_1999,16,8,Niger,circle,#F0FFF0,1999,square,#006400,,triangle,#FFFAFA
10593_2_14_Alg05-8683_2005,28,3,Algeria,circle,#87CEFA,2005,square,#87CEFA,,triangle,#FFFAFA
10593_2_15_Camer07-3108_2007,6,12,Cameroon,circle,#000080,2007,square,#B0C4DE,,triangle,#FFFAFA
10593_2_16_Tun69-61_1961,34,9,Tunisia,circle,#E0FFFF,1961,square,#4B0082,,triangle,#FFFAFA
10593_2_17_Ben04-7167_2004,9.5,2.25,Benin,circle,#00CED1,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_18_ChinE02-5919_2002,35,105,China,circle,#8B4513,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_19_BurFas06-1510_2006,13,-2,BurkinaFaso,circle,#008080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_2_Mex72-1258_1972,23,-102,Mexico,circle,#483D8B,1972,square,#FFFF00,,triangle,#FFFAFA
10593_2_20_IvoCoa07-5494_2007,7.539989,-5.54708,IvoryCoast,circle,#66CDAA,2007,square,#B0C4DE,,triangle,#FFFAFA
10593_2_21_Camer14-58_1958,6,12,Cameroon,circle,#000080,1958,square,#9932CC,,triangle,#FFFAFA
10593_2_22_MaliE01-1811_2001,17,-4,Mali,circle,#3CB371,2001,square,#E0FFFF,,triangle,#FFFAFA
10593_2_23_CamerIPCE_2002,6,12,Cameroon,circle,#000080,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_24_EgyE99-2862_1999,27,30,Egypt,circle,#00BFFF,1999,square,#006400,,triangle,#FFFAFA
10593_2_27_Camer04-7620_2004,6,12,Cameroon,circle,#000080,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_28_Ben09-8774_2009,9.5,2.25,Benin,circle,#00CED1,2009,square,#4682B4,,triangle,#FFFAFA
10593_2_29_Indo76-1406_1976,-5,120,Indonesia,circle,#FFFF00,1976,square,#DAA520,,triangle,#FFFAFA
10593_2_3_CamerIPCK_2004,6,12,Cameroon,circle,#000080,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_30_BenE02-1739_2002,9.5,2.25,Benin,circle,#00CED1,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_31_Camer12-58_1958,6,12,Cameroon,circle,#000080,1958,square,#9932CC,,triangle,#FFFAFA
10593_2_32_France_African_meal09-2619_2009,46,2,France,circle,#808080,2009,square,#4682B4,,triangle,#FFFAFA
10593_2_33_Ang05-2783_2005,-12.5,18.5,Angola,circle,#191970,2005,square,#87CEFA,,triangle,#FFFAFA
10593_2_34_CamerIPCI_2004,6,12,Cameroon,circle,#000080,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_35_CamerIPCL_2004,6,12,Cameroon,circle,#000080,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_36_Vie72-1907_1972,16,106,Vietnam,circle,#FFA500,1972,square,#FFFF00,,triangle,#FFFAFA
10593_2_37_PerE00-6999_2000,-10,-76,Peru,circle,#9932CC,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_38_Camer06-467_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_39_FreGuiE02-0232_2002,4,-53,FrenchGuiana,circle,#4B0082,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_4_EgyE00-2388_2000,27,30,Egypt,circle,#00BFFF,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_40_TurE97-9141_1997,39,35,Turkey,circle,#D2B48C,1997,square,#6B8E23,,triangle,#FFFAFA
10593_2_41_CapVerE00-6599_2000,16,-24,CapeVerde,circle,#48D1CC,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_42_CamerIPCA_2000,6,12,Cameroon,circle,#000080,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_43_MorE00-7878_2000,32,-5,Morocco,circle,#ADD8E6,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_44_CamerE98-8120_1998,6,12,Cameroon,circle,#000080,1998,square,#556B2F,,triangle,#FFFAFA
10593_2_45_MorE00-7463_2000,32,-5,Morocco,circle,#ADD8E6,2000,square,#F0FFFF,,triangle,#FFFAFA
